<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-66925011551              5          2
4-393358840745833          3          0
4-447953700454             4          4
4-8638536404523            3          0
4-4528333337               3          3
4-203059968075             3          0
4-447953700246             3          3
4-68987309999              3          0
4-33191491740131           4          4
4-447953700435             4          4
4-861476743000             7          2
4-8615654950               5          5
4-351960995065             4          4
4-491700600124             5          2
4-8390542332850            3          3
4-8634778430000            3          3
4-79202906865              5          2
4-447784000115             4          1
4-96558859634              4          4
4-861575810000             5          5
4-4567605055000            5          5
4-447953700441             4          4
4-34047259008              3          3
4-939954000300             3          3
4-905590000241             5          5
4-491700600137             4          0
4-447973700247             7          7
6-691700600162             6          3
4-352063000250             3          3
4-96394107400              4          1
4-861344704000             4          4
4-447781004015             4          1
4-33393336540297           3          3
4-2348020004630            3          3
4-25377890008              3          3
4-863320035332             3          0
4-33689008252              3          3
4-64816081147              4          1
4-8638536404520            3          0
4-33393905420346           3          3
4-447953700245             3          3
4-447782000243             3          0
4-8635765840000            3          3
4-401059968087             4          1
4-491700600119             5          5
4-201059968205             5          2
4-46705003202              3          0
6-636760182222             6          2
4-491700600152             5          5
6-33191691720339           6          6
4-48881109194              4          4
4-240556000430             3          3
4-30973460032              3          0
4-33393255750069           3          3
4-39039326993              3          3
4-883330000008322          3          0
4-38640006170              7          4
4-39039326993              3          3
4-8633745906000            3          0
4-79303399982              3          3
4-863564450908             3          3
4-48881109154              4          1
4-34054729334              3          3
4-590690880203             3          3
4-33603399764              3          3
4-8635302340000            3          3
4-37069950000              4          4
4-447782000250             5          5
4-8638455040000            3          3
4-447953700438             4          1
4-447782000118             7          7
4-34054729239              3          3
4-79367494342              3          3
4-863854934000             3          3
4-3339327820330            3          3
4-39039326966              3          3
4-8634784620000            3          0
4-447953700234             3          3
4-639380008993             3          0
4-8638400240000            3          3
4-96475409004135           4          4
4-37069899883              3          3
4-3745509961               4          0
4-79367494332              3          3
4-38363300303              3          3
4-491700600140             4          4
4-79188399994              4          1
4-79367494372              3          3
4-66942500006              3          3
4-8638488430000            3          3
4-48601000063              4          4
4-393358999734             3          3
4-66923035506              3          0
4-39039326984              3          0
4-493700600339             3          3
4-447782000255             5          5
4-52451000026              5          5
4-32085978676              3          3
4-33393905420388           3          0
4-863320038000             3          0
4-33689008733              3          3
4-8190544113861            4          1
4-882285000003308          3          0
4-39039326974              3          0
4-39039326982              3          3
4-34054729237              3          0
4-66923036503              3          3
4-861854916000             4          1
4-8635333430000            3          3
4-333932626920032          3          3
4-8638472840000            3          3
4-447953700243             3          3
4-550101104093             4          1
4-54079000020              3          3
4-639380009032             3          0
4-939026786493             3          3
4-491700600105             4          4
4-447955700249             5          2
4-359898000336             3          3
4-34054729325              3          3
4-863853640474             3          0
4-436990071495             4          4
4-447782000119             5          5
4-436760382228             3          3
4-387630000070             3          3
4-550339202007             3          3
4-38268000903              3          3
4-34054729233              3          3
4-905590000238             3          3
4-436760382230             3          0
4-34054729346              3          3
4-861300085100             4          4
4-882285000003336          3          0
4-253933299999             3          0
4-34054729205              3          3
4-436760184434             4          1
4-8638883430000            3          0
4-79347993088              3          3
4-8633782970000            3          0
4-253973200250             3          3
