,Country,Operator,Ownership,MCCMNC,Technology,Notes,Includes
114,Moldova,Moldcell,CG Corp Global[94],25902,"GSM-900 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800/2600 MHz LTE VoLTE",,
115,Moldova,Moldtelecom,Moldtelecom,259032590525999,"900/2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE, LTE-A",,
116,Moldova,Interdnestrcom operating in Transnistria region only,Sheriff,25906,800 MHz LTE VoLTE[95],,
117,Monaco,Monaco Telecom,"NJJ 55%, Société Nationale de Financement 45%",21210,900 MHz GSM  900/2100 MHz UMTS 800/1800/2600 MHz LTE 3500 MHz 5G NR,,
118,Montenegro,m:tel,"51% Telekom Srbija, 49% Telekom Srpske",29703,"GSM 900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/1800/2600 MHz LTE",,
119,Montenegro,Crnogorski Telekom,"Hrvatski Telekom (76.53%) (Deutsche Telekom AG 60.49%), free float (23.47%)",29702,"GSM 900/1800 MHz (GPRS, EDGE) 800/1800/2100/2600 MHz LTE 2100/3500 MHz 5G NR",,
120,Montenegro,One Montenegro,4iG[5],29701,"GSM 900/1800 (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 900/1800/2100 MHz LTE 700/3600 MHz 5G NR",,
121,Netherlands,Odido,"WP/AP Telecom Holdings IV B.V. (Warburg Pincus 50%, Apax Partners 50%)",20416 and 20402,"900/2100* MHz UMTS, HSDPA, HSUPA, HSPA+** *Only active on sites without low-band antennas. **3G to be discontinued from 1 August 2026[100] 800/900/1500/1800/2100/2600 MHz LTE, LTE-A 2600 MHz TD-LTE VoLTE, VoWiFi, AML  700/3500 MHz 5G NR ***detailed information on sites and frequencies to be found on the antennekaart website[101]",,
122,Netherlands,KPN,Koninklijke KPN,20408,"900* MHz GSM (GPRS, EDGE) *2G to be discontinued as of 1 December 2027[103] 800/900/1500/1800/2600 MHz LTE, LTE-A 2600 MHz TD-LTE VoLTE, VoWiFi, AML  700/2100/3500 MHz 5G NR 450 MHz CDMA (Smart meters only) **detailed information on sites and frequencies to be found on the antennekaart website[104]",,
123,Netherlands,Vodafone,"VodafoneZiggo (Vodafone Group 50%, Liberty Global 50%)",20404,"900/1800* MHz GSM (GPRS, EDGE) *Only active on sites without low-band antennas. 800/1500/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi, AML  700/1800**/3500 MHz 5G NR **using Dynamic Spectrum Sharing (DSS) ***detailed information on sites and frequencies to be found on the antennekaart website[106]",,
124,North Macedonia,Telekom,Magyar Telekom (51.00%) (Stone Bridge Communications),29401,"GSM-900 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA 800/1800 MHz LTE, LTE-A, VoLTE, 700/3600 MHz 5G NR",,
125,North Macedonia,A1,A1 Group,29403,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSPA+ 800/1800 MHz LTE, LTE-A, VoLTE, 700/3600 MHz 5G NR",,
126,Norway,Telenor,Telenor Government of Norway (54%),24201,"GSM-900/1800 MHz (GPRS, EDGE) (2G to be discontinued in 2027)[109] 3G discontinued in January 2021[110] 800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 700/3500 MHz 5G NR",,
127,Norway,Telia,Telia Company,24202,"GSM-900/1800 MHz (GPRS, EDGE) (2G to be discontinued in 2025)[111] 3G discontinued in November 2021[112] 800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 700/3500 MHz 5G NR",,
128,Norway,Ice,Lyse AS[115],"24214, 24206","700/800/900/1800/2100 MHz LTE (Roams on Telenor network in areas without its own coverage from March 2025)[113] VoLTE, VoWiFi 700/2100/3500 MHz 5G NR",,
129,Poland,Orange,"Orange S.A. (50.67%), free float (49.33%)",26003,"GSM 900 MHz (GPRS, EDGE) UMTS 900 MHz (HSDPA, HSUPA, HSPA+) 800/900/1800/2100/2600 MHz LTE, LTE-A 2100/3600 MHz 5G NR VoLTE, VoWiFi (shares network with T-Mobile)",,
130,Poland,Play,Iliad S.A.,26006,"E-GSM/GSM 900/1800 MHz (GPRS, EDGE) UMTS 900 MHz (HSDPA, HSUPA, HSPA+) 800/900/1800/2100/2600 MHz LTE, LTE-A 2100/3500 MHz 5G NR VoLTE, ViLTE, VoWiFi (for supported iOS/Android devices) (Roaming 2G/3G/LTE on Orange Poland* network) * available till 31.12.2025, on some areas already inactive.",,
131,Poland,Plus,Grupa Polsat Plus,26001,"GSM 900/1800 MHz (GPRS, EDGE) UMTS 900/2100 MHz (HSDPA, HSUPA, HSPA+) 420/900/1800/2100/2600/2600TDD MHz LTE, LTE-A 2100/2600 MHz 5G NR VoLTE, VoWiFi",,
132,Poland,T-Mobile,Deutsche Telekom AG,26002,"GSM 900 MHz (GPRS, EDGE) 800/900/1800/2100/2600 MHz LTE, LTE-A 2100/3600 MHz 5G NR VoLTE, VoWiFi (shares network with Orange)",,
133,Portugal,NOS,NOS,26803,"GSM-900/1800 (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/1800/2100/2600 MHz LTE 700/3500 MHz 5G NR",,
134,Portugal,MEO,Altice,26806,"GSM-900 (GPRS, EDGE) 2100 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A 3600 MHz 5G NR",,
135,Portugal,Vodafone,Vodafone Group plc,26801,"GSM-900 (GPRS, EDGE)  900 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 800/900/1800/2100/2600 MHz LTE, LTE-A 2600 MHz TD-LTE VoLTE 3500 MHz 5G NR",,
136,Portugal,DIGI,Digi Communications N.V.,26802,900/1800/2600/3500 (technologies to be confirmed),,
137,Romania,Orange,Orange S.A.,22610,"GSM-900 (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+ (3G phase out 2025[122]) 700(B28)/800(B20)/900(B8)/1500(B32)/1800(B3)/2100(B1)/2600(B7) MHz LTE-A, VoLTE, VoWiFi 2100/3500 MHz 5G",,
138,Romania,Digi,Digi Communications N.V.,22605,"GSM-900 (no GPRS, no EDGE) 800(B20)/900(B8)/2100(B1)/2600 FDD(B7)/2600 TDD(B38) LTE-A, VoLTE, VoWiFi 2600FDD/ 2600TDD/3500 MHz 5G",,
139,Romania,Vodafone,Vodafone Group plc,22601,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+ (3G phase out ongoing as of 2025, already turned off in some cities) 700(B28)/800(B20)/900(B8)/1800(B3)/2100(B1) MHz LTE-A, VoLTE, ViLTE, VoWiFi 2100/3500 MHz 5G",,
140,Romania,Telekom,OTE (Deutsche Telekom AG 54.5%),22603,"GSM-900/1800 (GPRS, EDGE) 800(B20)/900(B8)/1800(B3)/2100(B1)/2600(B7) MHz LTE-A, VoLTE, VoWiFi 2100 MHz 5G",,
141,Russia,MTS,"PJSC Sistema (42.09%), PJSC MTS (1.93%), free float (50.03%)[123]",25001,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/900/1800/2100/2600 MHz LTE, VoLTE 800/900/1800 MHz NB-IoT, 4900 MHz 5G NR",,
142,Russia,MegaFon,"OOO USM Holdings (50%), OOO AF Telecom Holdings (50%)[125]",25002,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/1800/2500/2600 MHz LTE, LTE-A, VoLTE",,
143,Russia,t2,PJSC Rostelecom,25020,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 450/800/900/1800/2100/2300/2600 MHz LTE",,
144,Russia,Beeline,PJSC VimpelCom,25099,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A, VoLTE",,
145,Russia,"MOTIV Coverage: Sverdlovsk, Kurgan, Khanty-Mansi, Yamalo-Nenets",OOO EKATERINBURG-2000,25035,"GSM-1800 MHz 1800/2500 MHz LTE, VoLTE",,
146,Russia,Tattelecom Coverage: Tatarstan,PJSC Tattelecom,25027,GSM-1800 MHz 1800 MHz LTE,,
147,Russia,Phoenix Coverage: Donetsk,"SUE DPR ""ROS""",25097,GSM-900/1800 MHz 2100 MHz UMTS 800/900/1800/2600 MHz LTE,,
148,Russia,MKS Coverage: Luhansk,OOO MKS,25098,GSM-900/1800 MHz 2100 MHz UMTS 900/1800/2600 MHz LTE,,
149,Russia,"K-Telecom Coverage: Crimea, Sevastopol, Luhansk, Donetsk, Zaporozhye, Kherson",OOO K-Telecom,"25032, 25096",GSM-900/1800 MHz 2100 MHz UMTS 2600 MHz LTE,,
150,Russia,"Miranda Coverage: Crimea, Sevastopol, Luhansk, Donetsk, Zaporozhye, Kherson",OOO Miranda-Media,25054,GSM-900 MHz 2100 MHz UMTS 450 MHz LTE,,
151,Russia,Vainah Telecom Coverage: Chechnya,JSC Vainah Telecom,25008,GSM-900/1800 MHz 2300 MHz LTE,,
152,San Marino,TIM San Marino,TIM,22201,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A",,
153,San Marino,Telefonia Mobile Sammarinese,Telecom Italia San Marino (51%),22201,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A (Uses the TIM network)",,
154,San Marino,Prima,San Marino Telecom,29201,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+",,
155,Serbia,MTS,Telekom Srbija,22003,"900/1800 MHz - GSM (GPRS, EDGE) 900/2100 MHz - UMTS (HSDPA, DC-HSPA+) 800/1800/2100 MHz - LTE (LTE-A Pro) VoLTE, ViLTE, RCS, eSIM",,
156,Serbia,Yettel,e& PPF Telecom Group,22001,"900/1800 MHz - GSM (GPRS, EDGE) 900/2100 MHz - UMTS (HSDPA, DC-HSPA+) 800/1800/2100 MHz - LTE (LTE-A Pro) VoLTE, ViLTE, RCS, eSIM)",,
157,Serbia,A1,A1 Group,22005,"900/1800 MHz - GSM (GPRS, EDGE) 900/2100 MHz - UMTS (HSDPA, DC-HSPA+) 800/1800/2100 MHz - LTE (LTE-A Pro) VoLTE, ViLTE, RCS, eSIM, Multi-SIM)",,
158,Slovakia,Orange,Orange S.A.,"23101, 23105","900 MHz GSM (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A, LTE-A Pro (Allows 4ka to access 900 and 2100 MHz)700/2100/3600 MHz 5G NR VoLTE, VoWiFi, RCS",,
159,Slovakia,O2,e& PPF Telecom Group,23106,"900 MHz GSM (GPRS, EDGE) (Roaming on Telekom Slovakia (2G) when needed) 900 MHz UMTS, HSDPA, HSPA+ 700/800/1800/2100 MHz LTE, LTE-A 1800/2100/3600 MHz 5G NR VoLTE, VoWiFi, RCS",,
