carrier_name,country,CC,NDC,country_upper,carrier_name_upper
O2,Argentina,54.0,2317,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,249,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2626,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2647,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2924,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2935,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2954,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2972,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3382,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3405,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3483,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3492,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3721,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3743,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3757,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3837,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3838,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3843,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3891,ARGENTINA,O2 ARGENTINA
TelePersoSA,Argentina,54.0,113,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,220,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,230,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,260,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,263,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,265,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,292,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,293,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,344,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,371,ARGENTINA,TELEPERSOSA
TelePersoSA,Argentina,54.0,374,ARGENTINA,TELEPERSOSA
