MCC,MNC,PLMN,Region,Country,ISO,Operator,Brand,PLMNCode,2G,GPRS/3G,LTE,NetworkId,NetworkName,Source
248.0,2.0,24802.0,Europe,Estonia,EE,Elisa Eesti,Elisa,ESTRE,YES,YES,YES,elisa_estonia,Elisa,system
636.0,1.0,63601.0,Africa,Ethiopia,ET,Ethio Telecom,MTN,ETH01,YES,YES,YES,mtn_ethiopia,MTN,system
636.0,2.0,63602,,Ethiopia,,,Safaricom Ethiopia,ETH02,YES,YES,Planned,safaricom_ethiopia_ethiopia,Safaricom Ethiopia,system
244.0,12.0,24412.0,Europe,Finland,FI,DNA Oy,DNA,FIN2G,YES,YES,YES,dna_finland,DNA,system
244.0,14.0,24414.0,Europe,Finland,FI,Ålands Telekommunikation Ab,Ålcom,FINAM,YES,YES,YES,ålcom_finland,Ålcom,system
244.0,5.0,24405.0,Europe,Finland,FI,Elisa Oyj,Elisa,FINRL,YES,YES,YES,elisa_finland,Elisa,system
244.0,3.0,24403.0,Europe,Finland,FI,DNA Oy,DNA,FINTA,YES,,,dna_finland,DNA,system
244.0,91.0,24491.0,Europe,Finland,FI,Telia Finland Oyj,Telia,FINTF,YES,YES,YES,telia_finland,Telia,system
542.0,2.0,54202.0,Oceania,Fiji,FJ,Digicel Fiji,Digicel,FJIDP,YES,YES,YES,digicel_fiji,Digicel,system
208.0,1.0,20801.0,Europe,France,FR,Orange S.A.,Orange,FRAF1,YES,YES,YES,orange_france,Orange,system
208.0,10.0,20810.0,Europe,France,FR,Altice,SFR,FRAF2,YES,YES,YES,sfr_france,SFR,system
208.0,20.0,20820.0,Europe,France,FR,Bouygues Telecom,Bouygues,FRAF3,YES,YES,YES,bouygues_france,Bouygues,system
340.0,20.0,34020.0,North America and the Caribbean,French Antilles (France),BL/GF/GP/MF/MQ,DIGICEL Antilles Française Guyane,Digicel,FRAF4,YES,YES,,digicel_french_antilles_(france),Digicel,system
208.0,15.0,20815.0,Europe,France,FR,Iliad,Free Mobile,FRAFM,,YES,YES,free_mobile_france,Free Mobile,system
547.0,20.0,54720.0,Oceania,French Polynesia (France),PF,Onati S.A.S.,Vini,FRATK,YES,YES,YES,vini_french_polynesia_(france),Vini,system
288.0,1.0,28801.0,Europe,Faroe Islands,FO,Faroese Telecom,Faroese Telecom,FROFT,YES,YES,YES,faroese_telecom_faroe_islands,Faroese Telecom,system
288.0,2.0,28802.0,Europe,Faroe Islands,FO,Vodafone Faroe Islands,Hey,FROKA,YES,YES,YES,hey_faroe_islands,Hey,system
628.0,1.0,62801.0,Africa,Gabon,GA,Gabon Telecom S.A.,Libertis,GAB01,YES,YES,YES,libertis_gabon,Libertis,system
628.0,4.0,62804.0,Africa,Gabon,GA,USAN Gabon S.A.,Azur,GABAZ,YES,,,azur_gabon,Azur,system
