NetworkId,NetworkName,Rate,Routage,Source
vodafone_malta,Vodafone,20,Bilateral,system
ooredoo_myanmar,Ooredoo,HLR BARRING,Comfone,system
mpt_myanmar,MPT,HLR BARRING,Orange Hub,system
telenor_myanmar,Telenor,100,Comfone,system
m:tel_cg_montenegro,m:tel CG,0+,Bilateral,system
telenor_montenegro,Telenor,HLR BARRING,Comfone,system
crnogorski_telekom_a.d._podgorica__montenegro,Crnogorski Telekom a.d. Podgorica ,100,Bilateral,system
mobicom_mongolia,Mobicom,,,system
unitel_mongolia,Unitel,,,system
mcel_mozambique,mCel,HLR BARRING,Bilateral,system
vodacom_mozambique,Vodacom,100,Orange Hub,system
movitel_mozambique,Movitel,HLR BARRING,Comfone,system
mattel_mauritania,Mattel,,,system
flow_montserrat_(uk),FLOW,,,system
my.t_mauritius,my.t,100,Orange Hub,system
emtel_mauritius,Emtel,,,system
chili_mauritius,CHILI,HLR BARRING,Orange Hub,system
tnm_malawi,TNM,,,system
airtel_malawi,Airtel,,,system
maxis_malaysia,Maxis,10,Bilateral,system
celcom_malaysia,Celcom,,,system
u_mobile_malaysia,U Mobile,HLR BARRING,Orange Hub,system
celcom_malaysia,Celcom,,,system
digi_malaysia,DiGi,90,Orange Hub,system
mtc_namibia,MTC,,,system
tn_mobile_namibia,TN Mobile,,,system
mobilis_new_caledonia_(france),Mobilis,,,system
airtel_niger,Airtel,,,system
orange_niger,Orange,100,Orange Hub,system
telecel_niger__niger,Telecel Niger ,HLR BARRING,Comfone,system
9mobile_nigeria,9mobile,,,system
airtel_nigeria,Airtel,,,system
glo_nigeria,Glo,,,system
mtn_nigeria,MTN,,,system
ntel_nigeria,Ntel,,,system
claro_nicaragua,Claro,,,system
claro_nicaragua,Claro,,,system
odido_netherlands,Odido,0+,Bilateral,system
vodafone_netherlands,Vodafone,10,Orange Hub,system
odido_netherlands,Odido,0+,Bilateral,system
kpn_netherlands,KPN,90,Bilateral,system
aeromobile_worldwide,AeroMobile,,,system
telenor_worldwide,Telenor,,,system
netcom_norway_norway,Netcom Norway,10,Bilateral,system
telia_norway,Telia,,,system
telenor_norway,Telenor,90,Bilateral,system
ncell_nepal,Ncell,,,system
namaste_/_nt_mobile_/_sky_phone_nepal,Namaste / NT Mobile / Sky Phone,,,system
vodafone_new_zealand,Vodafone,100,Orange Hub,system
2degrees_new_zealand,2degrees,HLR BARRING,Comfone,system
spark_new_zealand,Spark,HLR BARRING,Comfone,system
omantel_oman,Omantel,100,Bilateral,system
ooredoo_oman,ooredoo,HLR BARRING,Bilateral,system
jazz_pakistan,Jazz,100,Bilateral,system
cmpak_limited_pakistan,CMPak Limited,HLR BARRING,Bilateral,system
telenor_pakistan,Telenor,,,system
ufone_pakistan,Ufone,,,system
jazz_pakistan,Jazz,100,Bilateral,system
claro_panama,Claro,,,system
cable_&_wireless_panama,Cable & Wireless,HLR BARRING,Orange Hub,system
digicel_panama,Digicel,HLR BARRING,Bilateral,system
movistar_panama,movistar,100,Bilateral,system
movistar_peru,Movistar,100,Bilateral,system
entel_perú_s.a._peru,Entel Perú S.A.,HLR BARRING,Comfone,system
claro_peru,Claro,,,system
bitel_peru,Bitel,HLR BARRING,Comfone,system
sun_cellular_philippines,Sun Cellular,,,system
globe_philippines,Globe,,,system
smart_philippines,SMART,,,system
digicel_papua_new_guinea,Digicel,,,system
bmobile_papua_new_guinea,bmobile,,,system
t-mobile_poland,T-Mobile,0+,Bilateral,system
orange_poland,Orange,85,Orange Hub,system
plus_poland,Plus,10,Bilateral,system
play_poland,Play,5,Bilateral,system
claro_puerto_rico_puerto_rico,Claro Puerto Rico,,,system
nos_portugal,NOS,0+,Orange Hub,system
vodafone_portugal,Vodafone,10,Orange Hub,system
meo_portugal,MEO,90,Bilateral,system
claro_paraguay,Claro,,,system
personal_paraguay,Personal,,,system
tigo_paraguay,Tigo,,,system
vox_paraguay,VOX,,,system
jawwal_israel,Jawwal,,,system
jawwal_palestine,Jawwal,,,system
pacific_mobile_telecom_french_polynesia,Pacific Mobile Telecom,100,Orange Hub,system
vodafone_qatar,Vodafone,90,Bilateral,system
ooredoo_qatar,ooredoo,10,Bilateral,system
digi_romania,DIGI,0,Bilateral,system
telekom_romania,Telekom,0+,Bilateral,system
vodafone_romania,Vodafone,10,Orange Hub,system
orange_romania,Orange,90,Bilateral,system
mts_russian_federation,MTS,80,Bilateral,system
tvoi_mobil'nye_tekhnologii_llc_(tmt)_russia_russia,Tvoi Mobil'nye Tekhnologii LLC (TMT) Russia,HLR BARRING,Comfone,system
beeline_russian_federation,Beeline,0+,Bilateral,system
motiv_russian_federation,MOTIV,,,system
megafon_russian_federation,MegaFon,10,Bilateral,system
tele2_russian_federation,Tele2,10,Comfone,system
airtel_rwanda,Airtel,HLR BARRING,Bilateral,system
mtn_rwanda,MTN,100,Orange Hub,system
airtel_rwanda,Airtel,HLR BARRING,Bilateral,system
al_jawal_(stc_)_saudi_arabia,Al Jawal (STC ),10,Bilateral,system
mobily_saudi_arabia,Mobily,0+,Bilateral,system
zain_sa_saudi_arabia,Zain SA,90,Bilateral,system
mtn_sudan,MTN,,,system
orange_senegal_senegal,Orange Senegal,100,Orange Hub,system
expresso_senegal,Expresso,,,system
tigo_senegal,Tigo,0+,Comfone,system
m1_singapore,M1,,,system
singtel-g18_singapore,SingTel-G18,,,system
starhub_singapore,StarHub,,,system
singtel_singapore,SingTel,,,system
africell_sierra_leone,Africell,0,Bilateral,system
orange_sierra_leone,Orange,100,Orange Hub,system
digicel_el_salvador,Digicel,,,system
tigo_el_salvador,Tigo,,,system
claro_el_salvador,Claro,,,system
movistar_el_salvador,movistar,,,system
telesom_somalia,Telesom,,,system
vip_serbia,VIP,90,Bilateral,system
mtn_south_sudan,MTN,,,system
zain_south_sudan,Zain,,,system
cstmovel_sao_tome_and_principe,CSTmovel,,,system
zain_sd_sudan,Zain SD,,,system
digicel_suriname,Digicel,,,system
telesur_suriname,Telesur,,,system
telekom_slovakia,Telekom,0+,Bilateral,system
orange_slovakia,Orange,90,Orange Hub,system
o2_slovakia,O2,10,Bilateral,system
mobitel_slovenia,Mobitel,40,Comfone,system
a1_slovenia,A1,60,Bilateral,system
telemach_tusmobil_d.o.o._slovenia,Telemach Tusmobil d.o.o.,HLR BARRING,Bilateral,system
telenor_sweden_sweden,Telenor Sweden,0+,Bilateral,system
