Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Syria,Rcell,Rcell,,,,X,,syria_rcell
Tanzania,Vodacom,Vodacom (75%),,X,X,X,,tanzania_vodacom
Tanzania,Airtel,Bharti Airtel (51%),,X,X,X,formerly Zain,tanzania_airtel
Tanzania,Tigo,Axian Group,,X,X,X,,tanzania_tigo
Tanzania,Halotel,Viettel Tanzania Limited (Subsidiary of Viettel Group[161][162]),,X,X,X,,tanzania_halotel
Tanzania,Zantel,Etisalat (51%) and Zanzibar Telecom Ltd,,X,X,,,tanzania_zantel
Togo,Togocel,Togo Telecom (state owned),,X,X,,,togo_togocel
Togo,Moov Africa Togo,Maroc Telecom,,X,,,,togo_moov_africa_togo
Tunisia,Ooredoo,Ooredoo (75%),,X,X,X,formerly Tunisiana,tunisia_ooredoo
Tunisia,Tunisie Telecom,"Tunisie Télécom Group (65%), Tecom DIG (35%) [165]",,X,X,X,,tunisia_tunisie_telecom
Tunisia,Orange,"Orange S.A., Divona",,X,X,X,,tunisia_orange
Turkey,Turkcell,"Turkey Wealth Fund (26.2%), LetterOne (19.8%), free float (54%)",,X,X,X,,turkey_turkcell
Turkey,Türk Telekom,Türk Telekom,,X,X,X,"Formerly Avea, Aria, Aycell",turkey_türk_telekom
Turkey,Vodafone,Vodafone Group plc,,X,X,X,Formerly Telsim,turkey_vodafone
Uganda,MTN Uganda,MTN Group (96%),,X,X,X,,uganda_mtn_uganda
Uganda,Airtel Uganda,Bharti Airtel,,X,X,,,uganda_airtel_uganda
Uganda,UTel,Uganda Telecommunications Corporation Limited,,X,X,,,uganda_utel
Uganda,Smile Telecom,,,,,,Uganda,uganda_smile_telecom
Uganda,Lycamobile,,,,,,,uganda_lycamobile
United Arab Emirates,Etisalat,UAE Federal Government (40%) and public shareholders (60%),,X,X,X,,united arab emirates_etisalat
United Arab Emirates,du,"UAE Federal Government (39.5%), Mubadala Development Company (19.75%), TECOM Investments (19.5%), and public shareholders (21.25%)",,X,X,X,,united arab emirates_du
Yemen,Yemen Mobile,Government-run company with shareholders.,,,X,X,,yemen_yemen_mobile
Yemen,Sabafon,Al-Ahmar Group Batelco Hayel Saeed Anam & Co. Ltd. Consolidated Constructors International company S.A.L. (CCC),,X,,,,yemen_sabafon
Yemen,YOU,"Emerald International Investment, a subsidiary of the Zubair Corporation [177]",,X,,,"formerly, MTN",yemen_you
Yemen,Y Telecom,"Formerly, owned by Saudi and Kuwaiti corporations. Currently owned by the family of Abdrabbuh Mansur Hadi[178]",,X,,,formerly HiTS-UNITEL,yemen_y_telecom
Zambia,MTN,MTN Group,,X,X,X,,zambia_mtn
Zambia,Airtel,Bharti Airtel (78.88%),,X,X,X,,zambia_airtel
Zambia,Zamtel,Zambia Telecommunications Company Ltd,,X,X,,,zambia_zamtel
Zimbabwe,Econet,Econet Wireless (Private) Limited,,X,X,X,,zimbabwe_econet
Zimbabwe,telecel,State-owned,,X,X,,,zimbabwe_telecel
Zimbabwe,NetOne,NetOne Cellular (Pvt) Ltd (government),,X,X,X,,zimbabwe_netone
