prefix,country_alpha2,carrier_id,carrier_name,length
55489884,BR,claro,Claro,11
55489885,BR,claro,Claro,11
554898860,BR,claro,Claro,11
554898861,BR,claro,Claro,11
554898862,BR,claro,Claro,11
554898863,BR,claro,Claro,11
554898864,BR,claro,Claro,11
554898865,BR,claro,Claro,11
554898866,BR,claro,Claro,11
55489910,BR,vivo,Vivo,11
554899111,BR,vivo,Vivo,11
554899112,BR,vivo,Vivo,11
554899113,BR,vivo,Vivo,11
554899114,BR,vivo,Vivo,11
554899115,BR,vivo,Vivo,11
554899116,BR,vivo,Vivo,11
554899117,BR,vivo,Vivo,11
554899118,BR,vivo,Vivo,11
554899119,BR,vivo,Vivo,11
554899121,BR,vivo,Vivo,11
554899122,BR,vivo,Vivo,11
554899123,BR,vivo,Vivo,11
554899124,BR,vivo,Vivo,11
554899125,BR,vivo,Vivo,11
554899126,BR,vivo,Vivo,11
554899127,BR,vivo,Vivo,11
554899128,BR,vivo,Vivo,11
554899129,BR,vivo,Vivo,11
554899131,BR,vivo,Vivo,11
554899132,BR,vivo,Vivo,11
554899133,BR,vivo,Vivo,11
554899134,BR,vivo,Vivo,11
554899135,BR,vivo,Vivo,11
554899136,BR,vivo,Vivo,11
554899137,BR,vivo,Vivo,11
554899138,BR,vivo,Vivo,11
554899139,BR,vivo,Vivo,11
554899141,BR,vivo,Vivo,11
554899142,BR,vivo,Vivo,11
554899143,BR,vivo,Vivo,11
554899144,BR,vivo,Vivo,11
554899145,BR,vivo,Vivo,11
554899146,BR,vivo,Vivo,11
554899147,BR,vivo,Vivo,11
554899148,BR,vivo,Vivo,11
554899149,BR,vivo,Vivo,11
554899151,BR,vivo,Vivo,11
554899152,BR,vivo,Vivo,11
554899153,BR,vivo,Vivo,11
554899154,BR,vivo,Vivo,11
554899155,BR,vivo,Vivo,11
554899156,BR,vivo,Vivo,11
554899157,BR,vivo,Vivo,11
554899158,BR,vivo,Vivo,11
554899159,BR,vivo,Vivo,11
554899161,BR,vivo,Vivo,11
554899162,BR,vivo,Vivo,11
554899163,BR,vivo,Vivo,11
554899164,BR,vivo,Vivo,11
554899165,BR,vivo,Vivo,11
554899166,BR,vivo,Vivo,11
554899167,BR,vivo,Vivo,11
554899168,BR,vivo,Vivo,11
554899169,BR,vivo,Vivo,11
554899171,BR,vivo,Vivo,11
554899172,BR,vivo,Vivo,11
554899173,BR,vivo,Vivo,11
